Date,Time,Road_Condition,Weather_Condition,Latitude,Longitude,Severity
2023-11-24,03:05,Snowy,Foggy,28.755148,130.981229,2
2023-02-27,12:06,Wet,Clear,80.432762,-160.498373,1
2023-01-13,11:54,Icy,Foggy,-60.277147,55.243976,5
2023-05-21,11:38,Icy,Snowy,4.981282,52.62471,5
2023-05-06,08:51,Icy,Rainy,19.186905,-158.179437,1
2023-04-25,01:46,Wet,Snowy,83.585323,82.156892,3
2023-03-13,14:34,Snowy,Clear,77.204429,108.213304,1
2023-02-22,03:59,Wet,Foggy,45.947735,-140.663148,1
2023-12-13,12:05,Wet,Windy,34.176174,-111.027574,5
2023-10-07,17:18,Muddy,Rainy,38.330815,13.062871,4
2023-02-14,20:39,Muddy,Windy,-18.181386,-129.534373,5
2023-10-30,11:36,Snowy,Clear,30.903653,-113.944307,5
2023-08-05,06:45,Muddy,Foggy,-22.78431,-13.453895,2
2023-01-17,02:02,Icy,Windy,71.930535,134.814943,1
2023-01-16,21:14,Muddy,Windy,-8.732495,-152.86144,5
2023-02-17,09:05,Icy,Rainy,-45.37699,110.888008,1
2023-04-22,07:55,Snowy,Rainy,-78.475339,128.148081,2
2023-04-30,03:24,Wet,Foggy,-86.213833,-144.752858,1
2023-09-16,08:29,Wet,Rainy,9.705874,54.772162,5
2023-11-05,20:53,Muddy,Windy,15.919221,14.611658,1
2023-01-14,11:10,Icy,Windy,-88.705649,-174.687172,2
2023-10-15,11:22,Dry,Clear,37.41137,-146.425401,4
2023-04-12,06:42,Dry,Windy,-79.402722,91.283581,1
2023-11-29,08:44,Dry,Foggy,-77.867941,-94.903383,5
2023-12-26,21:41,Wet,Snowy,-84.345668,-33.690939,2
2023-10-07,02:38,Wet,Clear,-30.522872,-6.71097,5
2023-08-03,20:10,Icy,Clear,2.548102,131.274142,5
2023-04-23,17:46,Muddy,Foggy,-39.874092,144.879432,1
2023-08-18,07:10,Dry,Foggy,-2.62539,-120.730636,5
2023-10-29,14:24,Icy,Rainy,7.062108,-179.224064,1
2023-05-23,08:59,Icy,Clear,40.203462,-39.448167,4
2023-01-04,20:44,Muddy,Rainy,68.828954,153.546506,5
2023-03-23,17:14,Icy,Windy,13.718097,102.646568,5
2023-12-24,21:20,Muddy,Clear,-46.260496,-77.310278,5
2023-08-05,01:14,Snowy,Clear,-4.86487,70.772941,3
2023-06-24,01:51,Muddy,Snowy,-16.729207,82.981914,3
2023-05-23,10:25,Dry,Clear,-73.021357,102.01015,2
2023-03-21,08:04,Dry,Windy,28.616895,58.273672,3
2023-04-21,06:58,Muddy,Rainy,-26.226438,-4.798292,2
2023-06-22,18:56,Snowy,Rainy,-16.00159,-111.636768,3
